"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Sincurly_Yurs @SecureAmerica @POTUS all the options are akin to putting down your perfectly healthy 8 month old puppy bcuz it shit inside.",FALSE,0,"Sincurly_Yurs",2017-01-28 13:29:43,FALSE,"824739765735952385","825335046550745088","27457466","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RonClandon",0,FALSE,FALSE,NA,NA
"2","And then...apparently asked GenMattis for a date.
@realdonaldtrump @seanspicer @VP   Lonely being HomeAlone.  : (<U+2026> https://t.co/97drpv7ZRi",FALSE,0,NA,2017-01-28 13:29:43,TRUE,NA,"825335046194266112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LizzieWithA_Z",0,FALSE,FALSE,NA,NA
"3","@JordanUhl @POTUS 
It's a licensing deal you idiot",FALSE,0,"JordanUhl",2017-01-28 13:29:43,FALSE,"825187753038139392","825335045615398912","68752979","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mtribs20",0,FALSE,FALSE,NA,NA
"4","#SomePeopleAreSaying that @potus, @PressSec,&amp; @KellyannePolls's attacks on the press are unprecedented. They're not<U+2026> https://t.co/1O6UQ6ffjS",FALSE,0,NA,2017-01-28 13:29:43,TRUE,NA,"825335043501465600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","altfactbot",0,FALSE,FALSE,NA,NA
"5","RT @ElizabethDrewOH: Trump's first network interview as POTUS drew 7.5 m viewers while Obama's drew 17m, but that was because of all those<U+2026>",FALSE,0,NA,2017-01-28 13:29:42,FALSE,NA,"825335042419331073",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kjadams0005",11064,TRUE,FALSE,NA,NA
"6","@BBCPropaganda POTUS liked a woman or two in his past. May should publicly humiliate him &amp; refuse to meet &amp; declare<U+2026> https://t.co/nMOW3eh4NX",FALSE,0,"BBCPropaganda",2017-01-28 13:29:42,TRUE,"825327224052121601","825335040661942276","442245676","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GaryThePhone",0,FALSE,FALSE,NA,NA
"7","RT @EricBoehlert: 7M viewers. Obama's first primetime interview as POTUS in 2009 drew 17M viwers--sad! https://t.co/f7vXpAbL6r",FALSE,0,NA,2017-01-28 13:29:42,FALSE,NA,"825335040607395840",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BrendaBarrett",1019,TRUE,FALSE,NA,NA
"8","RT @JLP20: @realDonaldTrump @POTUS #RightToLife had demonstration in DC. The @antitrump_2016 had mass marches WORLD WIDE",FALSE,0,NA,2017-01-28 13:29:41,FALSE,NA,"825335038556381184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmandaD41740705",3,TRUE,FALSE,NA,NA
"9","Maybe get over it and let the be dear mr. president? By the way, you have a potus account now. https://t.co/9J5lq9AvSr",FALSE,0,NA,2017-01-28 13:29:41,FALSE,NA,"825335038367637504",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mediamannetje",0,FALSE,FALSE,NA,NA
"10","RT @dandrezner: Dear @POTUS: on Holocaust Remembrance Day my synagogue told me the Syrian refugee family we're sponsoring is not coming. Go<U+2026>",FALSE,0,NA,2017-01-28 13:29:41,FALSE,NA,"825335037205835777",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","JohnDavid_1",21706,TRUE,FALSE,NA,NA
"11","RT @nyvetvote: @YoungDems4Trump @Doodisgirl @POTUS @realDonaldTrump make #AmericaFirst &amp; Stop #ProChoice w/a #TrumpNationalBabyBumpDay in<U+2026>",FALSE,0,NA,2017-01-28 13:29:41,FALSE,NA,"825335036845125636",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nyvetvote",1,TRUE,FALSE,NA,NA
"12","Be a good little radical @potus, @realDonaldTrump. Open up and take your meds and you can watch Fox and Friends.<U+2026> https://t.co/DmA9duTAzP",FALSE,0,NA,2017-01-28 13:29:41,TRUE,NA,"825335036094341121",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","feedingtubepaul",0,FALSE,FALSE,NA,NA
"13","RT @RoguePOTUSStaff: @dmarie999 @RogueNASA The sad part is hearing POTUS say ""Ppl don't need facts, they just need info. Control the info a<U+2026>",FALSE,0,NA,2017-01-28 13:29:41,FALSE,NA,"825335035821690880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tracy_Mack",1592,TRUE,FALSE,NA,NA
"14","@datrumpnation1 @Rictracee @realDonaldTrump @POTUS We will make sure that does not happen.",FALSE,0,"datrumpnation1",2017-01-28 13:29:40,FALSE,"825334908822384641","825335034483712002","733828747690811392","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rol3c",0,FALSE,FALSE,NA,NA
"15","RT @ElizabethDrewOH: Trump's first network interview as POTUS drew 7.5 m viewers while Obama's drew 17m, but that was because of all those<U+2026>",FALSE,0,NA,2017-01-28 13:29:40,FALSE,NA,"825335033510629376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JasmineBleu",11064,TRUE,FALSE,NA,NA
"16","RT @RepRaskin: .@POTUS observes Holocaust Remembrance Day by slamming the door on the world's most desperate people w/ ""extreme vetting.""",FALSE,0,NA,2017-01-28 13:29:40,FALSE,NA,"825335032705327104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kennyrc4",790,TRUE,FALSE,NA,NA
"17","@GavinNewsom @POTUS WRONG. He is the voice of the silent majority, and because of him, we are silent no more. Shame on you!",FALSE,0,"GavinNewsom",2017-01-28 13:29:39,FALSE,"825126962825867265","825335030696308736","11347122","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheSpurrminator",0,FALSE,FALSE,NA,NA
"18","RT @MalenaStein: Qu<U+00E9> responsabilidad inmensa el ser querido por una persona buena y noble. Y qu<U+00E9> pobreza de alma la de la gente que no sabe<U+2026>",FALSE,0,NA,2017-01-28 13:29:39,FALSE,NA,"825335027638603776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Potus_Frio",94,TRUE,FALSE,NA,NA
"19","RT @alxwinter: Welp, it only took @POTUS a week to make America substantially less great.",FALSE,0,NA,2017-01-28 13:29:38,FALSE,NA,"825335026283868162",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","billy_balawho",102,TRUE,FALSE,NA,NA
"20","RT @DanScavino: Secretary Mattis with @POTUS @realDonaldTrump and @VP Michael Pence - thanking our true heroes upon their departure from th<U+2026>",FALSE,0,NA,2017-01-28 13:29:38,FALSE,NA,"825335024694226947",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amc863",5494,TRUE,FALSE,NA,NA
"21","You're @POTUS. Grow up. https://t.co/0YK1PTyYmM",FALSE,0,NA,2017-01-28 13:29:38,FALSE,NA,"825335023339450368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reedtyler",0,FALSE,FALSE,NA,NA
"22","@FoxNews @POTUS you need only tell Gen. Mattis to fix the problem and he will.",FALSE,0,"FoxNews",2017-01-28 13:29:38,FALSE,"825163232881041408","825335023159083012","1367531","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","patpending1955",0,FALSE,FALSE,NA,NA
"23","RT @POTUS: I will be America's greatest defender and most loyal champion. -DJT https://t.co/wukJ6YqvLu",FALSE,0,NA,2017-01-28 13:29:37,FALSE,NA,"825335021691142145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Apaxpac",5363,TRUE,FALSE,NA,NA
"24","RT @BarryEmerica: @POTUS u a bitch",FALSE,0,NA,2017-01-28 13:29:37,FALSE,NA,"825335018729771013",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Blvkbrdd",7,TRUE,FALSE,NA,NA
"25","RT @PressSec: The United Kingdom's Prime Minister @theresa_may becomes the first head of government to sign the White House book under @POT<U+2026>",FALSE,0,NA,2017-01-28 13:29:37,FALSE,NA,"825335018511855616",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MikkiL",2634,TRUE,FALSE,NA,NA
"26","RT @CharlesMckinle7: Why is it that the so called journalist say the potus is sidetracked. He has done more in the 1st week than obama did<U+2026>",FALSE,0,NA,2017-01-28 13:29:36,FALSE,NA,"825335018260160516",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bill17683673",8,TRUE,FALSE,NA,NA
"27","RT @ThePatriot143: #BanSyrianRefugees is the best way that @POTUS has worked to secure our country so far! https://t.co/7J4wkUKDfU",FALSE,0,NA,2017-01-28 13:29:36,FALSE,NA,"825335017840713728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SammyJr07",4,TRUE,FALSE,NA,NA
"28","RT @SMBOJOURNAL: #Atenci<U+00F3>n Presidente Trump @POTUS cancelar<U+00E1> visas a funcionarios corruptos de Am<U+00E9>rica Latina y el Caribe. https://t.co/ohP<U+2026>",FALSE,0,NA,2017-01-28 13:29:36,FALSE,NA,"825335017446506496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BastaImpunidad",85,TRUE,FALSE,NA,NA
"29","RT @ElizabethDrewOH: Trump's first network interview as POTUS drew 7.5 m viewers while Obama's drew 17m, but that was because of all those<U+2026>",FALSE,0,NA,2017-01-28 13:29:36,FALSE,NA,"825335016855130112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kas524",11064,TRUE,FALSE,NA,NA
"30","RT @dandrezner: Dear @POTUS: on Holocaust Remembrance Day my synagogue told me the Syrian refugee family we're sponsoring is not coming. Go<U+2026>",FALSE,0,NA,2017-01-28 13:29:35,FALSE,NA,"825335012677578753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jesusalfar",21706,TRUE,FALSE,NA,NA
"31","@POTUS wtf?",FALSE,0,"POTUS",2017-01-28 13:29:35,FALSE,"825187398644547584","825335012522393600","822215679726100480","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Therealspagnolo",0,FALSE,FALSE,NA,NA
"32","RT @VoteTrumpPics: <U+201C>Sacrifices of our military will always be supported by the actions of our government.<U+201D>- @POTUS Trump

Rebuilding of the<U+2026>",FALSE,0,NA,2017-01-28 13:29:35,FALSE,NA,"825335010890743809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MayorMacDougall",552,TRUE,FALSE,NA,NA
"33","@JeffreyGuterman @realDonaldTrump @POTUS @FBI This sounds like a threat to our president",FALSE,0,"JeffreyGuterman",2017-01-28 13:29:35,FALSE,"825332847573626880","825335010647482368","246103","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tiredofcooking",0,FALSE,FALSE,NA,NA
"34","And @potus put targets on the backs of all our troops around the world by banning Muslims and threatening to steal<U+2026> https://t.co/H5l0qumzIm",FALSE,0,NA,2017-01-28 13:29:34,TRUE,NA,"825335009166913536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarryTwit",0,FALSE,FALSE,NA,NA
"35","RT @tribelaw: Watching Trump try to play the role of POTUS in Week 1, I can't shake the thought that we're staring at a slow-motion train w<U+2026>",FALSE,0,NA,2017-01-28 13:29:34,FALSE,NA,"825335007711526912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NYCBroadwayBaby",1157,TRUE,FALSE,NA,NA
"36","@thewoman62 @StephenBannon @POTUS i think you are forgetting that anyone can name themselves an ""asylum seeker.""",FALSE,0,"thewoman62",2017-01-28 13:29:34,FALSE,"825334719554400256","825335007434637312","2913678013","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SSSiarc",0,FALSE,FALSE,NA,NA
"37","RT @SpinDr: @RoguePOTUSStaff Yes, we know you are the POTUS. But you are not the infant-king.",FALSE,0,NA,2017-01-28 13:29:34,FALSE,NA,"825335007250153472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SSkinsfan35",7,TRUE,FALSE,NA,NA
"38","RT @RoguePOTUSStaff: When well intended patriots disagree, that's democracy. When POTUS says it's not fact until he approves it, that's tyr<U+2026>",FALSE,0,NA,2017-01-28 13:29:34,FALSE,NA,"825335007220752384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tamarbirckhead",9465,TRUE,FALSE,NA,NA
"39","Download the App droid: https://t.co/if6qd91ChH  ios: https://t.co/yoptHMPm2d @potus Human<U+2026> https://t.co/WIVoL8JXmG https://t.co/hm2sa8Z6C5",FALSE,0,NA,2017-01-28 13:29:34,FALSE,NA,"825335005811347456",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","TurboGPartners",0,FALSE,FALSE,NA,NA
"40","@POTUS  Bwaahaahaahaa!! You are America's 36% cuck boy. How does Bannon's dictate, cuck boy?",FALSE,0,"POTUS",2017-01-28 13:29:34,FALSE,"825187398644547584","825335005782106112","822215679726100480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smta_jay",0,FALSE,FALSE,NA,NA
"41","@POTUS @realDonaldTrump "" in 1970, sea lions &amp; harbor seals ate 68 M tons of Chinook &amp; in 2015, they ate 628 M tons.
https://t.co/tFYDECapw6",FALSE,0,"POTUS",2017-01-28 13:29:33,FALSE,NA,"825335004486070272","822215679726100480","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","All4Sealing",0,FALSE,FALSE,NA,NA
"42","@Twitty012 @Pray4DJT @AnitaDWhite @POTUS really? How and why?",FALSE,0,"Twitty012",2017-01-28 13:29:33,FALSE,"825330903798804480","825335004444110849","281254995","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteveSeals",0,FALSE,FALSE,NA,NA
"43","RT @RoguePOTUSStaff: When well intended patriots disagree, that's democracy. When POTUS says it's not fact until he approves it, that's tyr<U+2026>",FALSE,0,NA,2017-01-28 13:29:33,FALSE,NA,"825335004368662528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dragnmistris",9465,TRUE,FALSE,NA,NA
"44","RT @alxwinter: Welp, it only took @POTUS a week to make America substantially less great.",FALSE,0,NA,2017-01-28 13:29:33,FALSE,NA,"825335003609432066",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jay_skull_",102,TRUE,FALSE,NA,NA
"45","@cspanwj @NinaMariaPotts @featurestory @theresa_may @POTUS can we please talk about arm sales to saudis and revolutionary terrorists?",FALSE,0,"cspanwj",2017-01-28 13:29:33,FALSE,"825329322865127425","825335003567497217","15923226","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Haddy54Harriet",0,FALSE,FALSE,NA,NA
"46","RT @dandrezner: Dear @POTUS: on Holocaust Remembrance Day my synagogue told me the Syrian refugee family we're sponsoring is not coming. Go<U+2026>",FALSE,0,NA,2017-01-28 13:29:32,FALSE,NA,"825335001382215680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rachelevalim",21706,TRUE,FALSE,NA,NA
"47","RT @dandrezner: Dear @POTUS: on Holocaust Remembrance Day my synagogue told me the Syrian refugee family we're sponsoring is not coming. Go<U+2026>",FALSE,0,NA,2017-01-28 13:29:32,FALSE,NA,"825335000182697984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","doce_cuotas",21706,TRUE,FALSE,NA,NA
"48","Refugees detained at U.S. airports, prompting legal challenges to @POTUS #Trump<U+2019>s immigration order | @nytimes  https://t.co/k0scWW1yjI",FALSE,0,NA,2017-01-28 13:29:32,FALSE,NA,"825335000035889152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alana_austin",0,FALSE,FALSE,NA,NA
"49","RT @PlaceboAzul: Hay cosas que no te matan, ni te hacen m<U+00E1>s fuerte solo te dejan sin fe, que es peor.",FALSE,0,NA,2017-01-28 13:29:32,FALSE,NA,"825334999712985088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Potus_Frio",134,TRUE,FALSE,NA,NA
"50","@stanfordr80 @FBI @SecretService @POTUS Look at his TL, it's ripe with threats and instigation. Needs reporting and blocked.",FALSE,0,"stanfordr80",2017-01-28 13:29:32,FALSE,"825136170652704768","825334999117418496","4519539860","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoHostagesTaken",0,FALSE,FALSE,NA,NA
"51","That plan to bring back the interpreters who helped us in Iraq and Afghanistan? It's hit a wall thanks to @POTUS. https://t.co/tRJHGQ7MGv",FALSE,0,NA,2017-01-28 13:29:32,FALSE,NA,"825334998806970369",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Rogue_DoD",0,FALSE,FALSE,NA,NA
"52","@POTUS you are unAmerican and #UnfitToLead. You make me ashamed! https://t.co/J1giphMPmS",FALSE,0,"POTUS",2017-01-28 13:29:32,FALSE,"825187398644547584","825334998190395395","822215679726100480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BossyItalWife",0,FALSE,FALSE,NA,NA
"53","RT @Amaka_Ekwo: @POTUS 

#Nigeria.

#BokoHaram &amp; #FulaniHerdsmen are 1st &amp; 4th deadliest terrorist groups in the world.

They eliminate Chr<U+2026>",FALSE,0,NA,2017-01-28 13:29:31,FALSE,NA,"825334996693086208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","outlaws_",63,TRUE,FALSE,NA,NA
