"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BasicAssMemes: hold on.... donald trump stole his inauguration speech from shrek?? https://t.co/2XoVnmWBfx",FALSE,0,NA,2017-01-30 07:35:20,FALSE,NA,"825970639227936769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaedenntt",115,TRUE,FALSE,NA,NA
"2","Aeromexico's Ad in Response to Donald Trump https://t.co/G3QQHilfXG",FALSE,0,NA,2017-01-30 07:35:20,FALSE,NA,"825970638246576129",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Nerthus",0,FALSE,FALSE,NA,NA
"3","Looks like Big Brother is knocking on the door.
#snowden #bigbrother #nomoreEO https://t.co/unsZRM30tG",FALSE,0,NA,2017-01-30 07:35:20,FALSE,NA,"825970637898399744",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","OurRevAbroad",0,FALSE,FALSE,NA,NA
"4","""In Face of Trump<U+2019>s Order, Some Muslim Nations Are Conspicuously Silent"" 

https://t.co/CoRXTUqqAa",FALSE,0,NA,2017-01-30 07:35:20,FALSE,NA,"825970636644302848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NaderAlsarras",0,FALSE,FALSE,NA,NA
"5","RT @TIME: White House says green card holders won't be subject to executive order after all https://t.co/S9PuzdfBEK",FALSE,0,NA,2017-01-30 07:35:19,FALSE,NA,"825970634182135808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ro_zhang",255,TRUE,FALSE,NA,NA
"6","VIDEO: Miss Kenya says @POTUS Will <U+2018>Unify<U+2019> America #MissUniverse https://t.co/g7QcPpOZ8e",FALSE,0,NA,2017-01-30 07:35:19,FALSE,NA,"825970633892786176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cr8641",0,FALSE,FALSE,NA,NA
"7","RT @BBCBreaking: UK government rejects calls to cancel Donald Trump state visit, saying it would ""undo everything"" in #MayTrump talks
https<U+2026>",FALSE,0,NA,2017-01-30 07:35:19,FALSE,NA,"825970633091608576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Toyosu_CuteyPie",226,TRUE,FALSE,NA,NA
"8","RT @mic: Justin Trudeau takes a stand against Trump's Muslim ban. https://t.co/sVZLo810VA https://t.co/kYHgnzDobk",FALSE,0,NA,2017-01-30 07:35:18,FALSE,NA,"825970631418200065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seamundson13",1137,TRUE,FALSE,NA,NA
"9","RT @FoxNews: .@JudgeJeanine on Illegal Immigration: 'Law &amp; Order is Back in the West' https://t.co/oEKUgrRNlQ https://t.co/ZO5NoY0nU5",FALSE,0,NA,2017-01-30 07:35:18,FALSE,NA,"825970630340272130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mary50058968",1551,TRUE,FALSE,NA,NA
"10","RT @ericgeller: This is BONKERS AF oh my god https://t.co/luMb3mklKu https://t.co/4h8TrDdKt7",FALSE,0,NA,2017-01-30 07:35:18,FALSE,NA,"825970630210134016",NA,"<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","mindymae",2690,TRUE,FALSE,NA,NA
