"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@realDonaldTrump please keep your campaign promise and implement tax cuts. Will help mid class so much. We have ur back POTUS!!!!!",FALSE,0,"realDonaldTrump",2017-01-31 12:24:08,FALSE,NA,"826405705154453504","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChadHen53062599",0,FALSE,FALSE,NA,NA
"2","I hope the LGBTQ executive order is rumor bc denying them rights does not go with the whole 'keeping America Safe' shit. #DonaldTrump #POTUS",FALSE,0,NA,2017-01-31 12:24:08,FALSE,NA,"826405704034557953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Brookebkmeowton",0,FALSE,FALSE,NA,NA
"3","RT @1stAirDel_USMCR: Blowback is fierce after Trump cuts insubordinate staff, but support for POTUS is fiercer https://t.co/TkHcdO2vrs #TCO<U+2026>",FALSE,0,NA,2017-01-31 12:24:08,FALSE,NA,"826405704013602816",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kitsaoc",1,TRUE,FALSE,NA,NA
"4","RT @20committee: We've entered the ""get hysterical about Trump doing things every new POTUS does"" phase. 

Meanwhile, MSM barely notices WH<U+2026>",FALSE,0,NA,2017-01-31 12:24:08,FALSE,NA,"826405703145381889",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","DaisyDrawler",12,TRUE,FALSE,NA,NA
"5","RT @RealJamesWoods: .@POTUS @realDonaldTrump Dear Mr. President, two simple words to solve all of your problems: George. Soros. #SorosForPr<U+2026>",FALSE,0,NA,2017-01-31 12:24:08,FALSE,NA,"826405702516215809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flozeedotes",16967,TRUE,FALSE,NA,NA
"6","@POTUS If you didn't act like such an unpresidential asshole, maybe people would hear your message.",FALSE,0,"POTUS",2017-01-31 12:24:07,FALSE,"826259197700481028","826405701903908864","822215679726100480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Runningwithjee2",0,FALSE,FALSE,NA,NA
"7","RT @DHSgov: Statement from #SecretaryKelly on @POTUS's Appointment of Thomas D. Homan as Acting @ICEgov Director <U+2192> https://t.co/nH432cyDjT",FALSE,0,NA,2017-01-31 12:24:07,FALSE,NA,"826405701748678656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","1D10Two",206,TRUE,FALSE,NA,NA
"8","RT @MaxineWaters: I'm leading my colleagues in a press conference tomorrow at 8:30 am (ET).  We are taking on @POTUS ties to Russia! We hav<U+2026>",FALSE,0,NA,2017-01-31 12:24:07,FALSE,NA,"826405700737855488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jerry_ruark",5302,TRUE,FALSE,NA,NA
"9","RT @NancyPelosi: Republicans must decide whether they will be complicit in @POTUS<U+2019> reckless and unconstitutional agenda. https://t.co/M5Mes<U+2026>",FALSE,0,NA,2017-01-31 12:24:07,FALSE,NA,"826405699697651713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBRustyJim",3023,TRUE,FALSE,NA,NA
"10","@POTUS does he who must not be named 44 realize he made a travel ban on Iraq or does he just attack you bc its popular???",FALSE,0,"POTUS",2017-01-31 12:24:07,FALSE,NA,"826405699634753536","822215679726100480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slazer91",0,FALSE,FALSE,NA,NA
"11","You never saw that happening with Obama Keep it Flying High soldiers @realDonaldTrump @POTUS https://t.co/kZvrjsYU7u",FALSE,0,NA,2017-01-31 12:24:07,FALSE,NA,"826405698502287360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vjs1963",0,FALSE,FALSE,NA,NA
"12","@jwalverson10 @POTUS @DianeToucan @nealrogers @BillyT_202 @nytimes when did I claim that? I pointed out that there was no policy then.",FALSE,0,"jwalverson10",2017-01-31 12:24:06,FALSE,"826404521211527168","826405697747296256","439606878","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TruJared",0,FALSE,FALSE,NA,NA
"13","RT @yottapoint: HOLY COW: Sessions encouraged @SallyQYates to say NO to POTUS like Ashcroft did to Bush and AGs did to Nixon! @charles_gaba<U+2026>",FALSE,0,NA,2017-01-31 12:24:06,FALSE,NA,"826405697713741824",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Lori_Ella",576,TRUE,FALSE,NA,NA
