"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @newlizquenfan: Good Read. Even if she doesn't want to join, here's a nice compilation of what makes @lizasoberano Miss-Universe-worthy<U+2026>",FALSE,0,NA,2017-02-02 09:44:47,FALSE,NA,"827090380554252289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","5e20b3a4d021459",6,TRUE,FALSE,NA,NA
"2","RT @BaddiiesFR: Pia Wurtzbach, Miss Universe 2015 https://t.co/6FVpBgpLjj",FALSE,0,NA,2017-02-02 09:44:30,FALSE,NA,"827090307204292608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","renzmimura",1888,TRUE,FALSE,NA,NA
"3","RT @JepoiChoi: Break muna tayo from Miss Universe,  Kasi alam kong sya talaga BET nyo <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>! Anu?  Titingnan mo lang?  Hahahaha https://t.co/<U+2026>",FALSE,0,NA,2017-02-02 09:44:21,FALSE,NA,"827090267698192384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gr8pretender25",17,TRUE,FALSE,NA,NA
"4","RT @EmperorDarroux: This Filipino guy channels his inner Miss Universe by strutting in six-inch heels and speedos https://t.co/9ri412g5Xl",FALSE,0,NA,2017-02-02 09:44:09,FALSE,NA,"827090219157565441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nicoleelyse5015",6,TRUE,FALSE,NA,NA
"5","This Filipino guy channels his inner Miss Universe by strutting in six-inch heels and<U+2026> https://t.co/dnfO8NjYaT #tech",FALSE,0,NA,2017-02-02 09:44:04,FALSE,NA,"827090199968620544",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Trending_Global",0,FALSE,FALSE,NA,NA
"6","This Filipino guy channels his inner Miss Universe by strutting in six-inch heels and speedos https://t.co/ESuSfC0k3w",FALSE,0,NA,2017-02-02 09:43:51,FALSE,NA,"827090145337806849",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","watercooler",0,FALSE,FALSE,NA,NA
"7","DOT throws send-off ceremony for the 65th Miss Universe Iris Mittenaere at the NAIA Terminal 2 recently.

#missU_sendoff
#dot",FALSE,0,NA,2017-02-02 09:43:37,FALSE,NA,"827090085220753410",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","RomNats",0,FALSE,FALSE,NA,NA
"8","RT @JepoiChoi: Break muna tayo from Miss Universe,  Kasi alam kong sya talaga BET nyo <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>! Anu?  Titingnan mo lang?  Hahahaha https://t.co/<U+2026>",FALSE,0,NA,2017-02-02 09:43:36,FALSE,NA,"827090080141414401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","albiethegreat04",17,TRUE,FALSE,NA,NA
"9","RT @EmperorDarroux: This Filipino guy channels his inner Miss Universe by strutting in six-inch heels and speedos https://t.co/9ri412g5Xl",FALSE,0,NA,2017-02-02 09:43:33,FALSE,NA,"827090069450268672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lil__hazel__eye",6,TRUE,FALSE,NA,NA
"10","#free nude japanes girl video miss nude universe video https://t.co/Or4499wa10",FALSE,0,NA,2017-02-02 09:43:31,FALSE,NA,"827090058188615681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DieselHouse7",0,FALSE,FALSE,NA,NA
