"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @juliareinstein: Refugees, who were in the air while Trump signed the exec order banning their arrival, were detained upon landing. http<U+2026>",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118719729664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_grayscaled",3388,TRUE,FALSE,NA,NA
"2","RT @ACLU: WATCH: Immigrants rights attorney Lee Gelernt coming out of the court where the ACLU argued to block Trump's unconstitutional Mus<U+2026>",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118669447172",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KneelBrady",5320,TRUE,FALSE,NA,NA
"3","RT @MansurGidfar: Hope 3rd party voters are still proud of standing on principle when Trump declares himself Ayatollah #IranianAmerican #Se<U+2026>",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118623301633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abvavrg",3,TRUE,FALSE,NA,NA
"4","RT @ArthurPithude: Trump fait exactement ce qu'un chef est cens<U+00E9> faire : prot<U+00E9>ger son peuple et son pays, n'en d<U+00E9>plaise aux obscurantistes<U+2026>",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118581370880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaiserv2",108,TRUE,FALSE,NA,NA
"5","RT @NotAltWorld: Let tonight be a lesson for Trump. You may have the pen, but #WeThePeople have the say. You work for us, the popular major<U+2026>",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118510075904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","berry_remi",449,TRUE,FALSE,NA,NA
"6","RT @NegarMortazavi: VIVA! Federal Judge Ann Donnelly appointed by Obama confirmed by Senate 95-2 temporarily blocks Trump's #MuslimBan
http<U+2026>",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118501724160",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","zeeshan_shah_dc",156,TRUE,FALSE,NA,NA
"7","RT @ACLU: On week one, Donald Trump suffered his first loss in court.",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118493179907",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","akwanamaker",6356,TRUE,FALSE,NA,NA
"8","When people said ""It doesn't matter who wins the election. Trump and Hillary are the same.""  #muslimban https://t.co/GOBaPtWOPT",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118472310785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_shes_akeeper_",0,FALSE,FALSE,NA,NA
"9","RT @repjimcooper: The first two refugees kept out of America by President Trump's order are Iraqis who helped US troops survive during the<U+2026>",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118468005888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HeavenOrViri",29465,TRUE,FALSE,NA,NA
"10","RT @chrismaddern: Steve Bannon is replacing the Chairman of the Joint Chiefs on the National Security Council.

Say that out loud.

https:/<U+2026>",FALSE,0,NA,2017-01-29 02:56:39,FALSE,NA,"825538118463938560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mayzee590",259,TRUE,FALSE,NA,NA
