"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @dandrezner: Dear @POTUS: on Holocaust Remembrance Day my synagogue told me the Syrian refugee family we're sponsoring is not coming. Go<U+2026>",FALSE,0,NA,2017-01-28 14:41:39,FALSE,NA,"825353147124166656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MagicSonnets",22786,TRUE,FALSE,NA,NA
"2","RT @Rogue_DoD: That plan to bring back the interpreters who helped us in Iraq and Afghanistan? It's hit a wall thanks to @POTUS. https://t.<U+2026>",FALSE,0,NA,2017-01-28 14:41:39,FALSE,NA,"825353146549551104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yoseue",28,TRUE,FALSE,NA,NA
"3","Countries he has business interests in don't make the list even though they have clear ties to terrorism. POTUS... https://t.co/einLX0yq5j",FALSE,0,NA,2017-01-28 14:41:38,FALSE,NA,"825353145203171329",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","gladasm",0,FALSE,FALSE,NA,NA
"4","@POTUS I am part of the 70% - and YES is IS 70% - of the American public who believe in a woman's right to choose.",FALSE,0,"POTUS",2017-01-28 14:41:38,FALSE,NA,"825353145094172672","822215679726100480","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LinWilliams2",0,FALSE,FALSE,NA,NA
"5","RT @msclaudettes: @ColMorrisDavis @POTUS WE have the PRESCRIPTION to get to D.T.
we should stop viewing, tweeting anything he does, that wi<U+2026>",FALSE,0,NA,2017-01-28 14:41:38,FALSE,NA,"825353143705808900",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","susanbr42259458",1,TRUE,FALSE,NA,NA
"6","@DNC Democrats are lost in the past and American Citizens are walking away from your ideology. We love @realDonaldTrump @POTUS #TrumpTrain",FALSE,0,"DNC",2017-01-28 14:41:38,FALSE,NA,"825353143277993984","722793491059769344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrLarryLove",0,FALSE,FALSE,NA,NA
"7","RT @ColMorrisDavis: .@realDonaldTrump / @POTUS won't release taxes because they'd show (1) ties to terror states, (2) $0 tax paid for 25 yr<U+2026>",FALSE,0,NA,2017-01-28 14:41:38,FALSE,NA,"825353142590177280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sturmunddrangus",168,TRUE,FALSE,NA,NA
"8","@FoxNews @POTUS Liberals are always saying ""That's who we are"". If you truly know who we are, then why DIDN'T YOU WIN?  #AmericaFirst",FALSE,0,"FoxNews",2017-01-28 14:41:38,FALSE,"825351434224930816","825353142573420544","1367531","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LFTGLF4",0,FALSE,FALSE,NA,NA
"9","RT @JusticeWillett: OTD 1862<U+2014>

10th POTUS, John Tyler<U+2014>born when Washington was POTUS<U+2014>died.

Incredibly, his grandson is still alive.

https<U+2026>",FALSE,0,NA,2017-01-28 14:41:37,FALSE,NA,"825353141822578689",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JStanHardy",11,TRUE,FALSE,NA,NA
"10","RT @HillaryClinton: When Trump tries to deflect blame for denying that @POTUS was born in America, he is lying. https://t.co/lje3lKrZQy htt<U+2026>",FALSE,0,NA,2017-01-28 14:41:37,FALSE,NA,"825353141151477761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","erissbrak",3386,TRUE,FALSE,NA,NA
