"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @sickjew: Obama killed Abdulrahman al-Awlaki, age 16, in 2011. Today, Trump killed his eight-year-old little sister. #Yemen https://t.co<U+2026>",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933521235513344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ausdefeuer",42,TRUE,FALSE,NA,NA
"2","RT @VABVOX: I keep asking why the so-called ""progressives"" are voting in Trump's nominees.
JUST SAY NO.

https://t.co/Mk84B8Kr1c <U+2026>",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933521218854912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gcommking",4,TRUE,FALSE,NA,NA
"3","RT @The_Win_Trump: Starbucks Rips Trump Policies, Vows To Hire 10,000 Refugees https://t.co/HaX5QdzuOO https://t.co/C790cF2WRQ",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933521046929408",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","writeforjustice",3,TRUE,FALSE,NA,NA
"4","RT @MrVertigo10: <U+ADF8> <U+C9C0><U+C9C0><U+C790><U+B4E4><U+C758> <U+C9C4><U+C9DC> <U+C18D><U+B0B4><U+B97C> <U+BCF4><U+C5EC><U+C8FC><U+B294> <U+AE30><U+C0AC> https://t.co/3LSubltM9O <U+BB34><U+C2AC><U+B9BC> <U+C548><U+B410><U+C9C0><U+B9CC> <U+C6B0><U+B9AC> <U+D53C><U+D50C><U+B4E4> <U+C6B0><U+C120>,<U+B9D0><U+C740> <U+ADF8><U+B807><U+AC8C> <U+D574><U+B3C4> <U+C18D><U+C740> <U+AD1C><U+CC2E><U+C740> <U+C0AC><U+B78C>, <U+C77C> <U+C81C><U+B300><U+B85C> <U+D560> <U+C904> <U+C54C> <U+B4EF>,<U+B9CC><U+B098><U+BCF4><U+B2C8><U+AE4C> <U+AC20><U+CD98>,<U+C5D0><U+C774> <U+B2F9><U+C120><U+B418><U+BA74> <U+C124><U+B9C8> <U+ADF8><U+2026>",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933521017401344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","justgo012",36,TRUE,FALSE,NA,NA
"5","RT @MilanShevaLive: Donald Trump <U+0E2A><U+0E31><U+0E48><U+0E07><U+0E1B><U+0E0F><U+0E34><U+0E1A><U+0E31><U+0E15><U+0E34><U+0E01><U+0E32><U+0E23><U+0E17><U+0E32><U+0E07><U+0E17><U+0E2B><U+0E32><U+0E23><U+0E23><U+0E1A><U+0E04><U+0E23><U+0E31><U+0E49><U+0E07><U+0E41><U+0E23><U+0E01> <U+0E16><U+0E25><U+0E48><U+0E21><U+0E0A><U+0E32><U+0E15><U+0E34><U+0E21><U+0E38><U+0E2A><U+0E25><U+0E34><U+0E21><U+0E43><U+0E19><U+0E40><U+0E22><U+0E40><U+0E21><U+0E19><U+0E14><U+0E31><U+0E1A> 14 <U+0E28><U+0E1E> <U+0E2B><U+0E25><U+0E31><U+0E07><U+0E40><U+0E0B><U+0E47><U+0E19><U+0E04><U+0E33><U+0E2A><U+0E31><U+0E48><U+0E07><U+0E1E><U+0E34><U+0E40><U+0E28><U+0E29><U+0E41><U+0E1A><U+0E19><U+0E0A><U+0E32><U+0E15><U+0E34><U+0E21><U+0E38><U+0E2A><U+0E25><U+0E34><U+0E21><U+0E1E><U+0E23><U+0E49><U+0E2D><U+0E21><U+0E1B><U+0E23><U+0E30><U+0E01><U+0E32><U+0E28><U+2026>",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933521013215232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PL92XC",1269,TRUE,FALSE,NA,NA
"6","@NavRav28 @IntelGator @JustinTrudeau what an arrogant statement. Trump closed borders, you let a flood in for an example",FALSE,0,"NavRav28",2017-01-30 05:07:51,FALSE,"825912057929150464","825933520988155906","2263702933","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmthompson14",0,FALSE,FALSE,NA,NA
"7","RT @BillKristol: It would be interesting if Gens. Kelly and Mattis went to the president and said, it's us or Bannon.
https://t.co/WwWPEkzq<U+2026>",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933520837214209",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jryanlaw",97,TRUE,FALSE,NA,NA
"8","RT @mitchellvii: So asshat John McCain opposes Trump on immigration ban and the media trumpets ""bipartisan opposition.""  What bullox.",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933520828788740",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JerryDKochJr2",471,TRUE,FALSE,NA,NA
"9","RT @_JessicaViana_: This sure is embarrassing - ouch! 
https://t.co/C9D6KQFpWU #ForwardNotBack #laxprotest #FakeWallFacts",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933520698609664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoeWiederhold",142,TRUE,FALSE,NA,NA
"10","RT @eduardomndz1203: @DeniseDresserG Como que ya es tiempo de cambiar de tema... Lo que haga Trump es para EU, ac<U+00E1> nos hunde lo que hace Pe<U+2026>",FALSE,0,NA,2017-01-30 05:07:51,FALSE,NA,"825933520568713217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cid_marilu",2,TRUE,FALSE,NA,NA
